[19:13:55] 日志目录：F:\k230gc\pidtest\host\logs\20260707_191355
[19:13:56] TX > RADIOPING,attempt=1
[19:13:56] BRIDGE_RADIO_TX_OK
[19:13:56] BRIDGE_RADIO_PONG
[19:13:56] TX > PING,attempt=1
[19:13:56] ERR,UNKNOWN_COMMAND,RADIOPING
[19:13:56] PONG
[19:13:56] TX > AUTOTUNE,attempt=1
[19:13:57] OK,AUTOTUNE_WAIT_TARGET
[19:13:57] AUTOTUNE_WAIT_TARGET,frames=2
[19:13:57] AUTOTUNE_START
[19:13:57] AUTOTUNE_SCORE_PROFILE,PID_FAST_FOLLOW_STABLE_V10
[19:13:57] TUNE,X,BEGIN,MODE,PID_CHAMPIONSHIP
[19:13:57] TUNE,X,CALIBRATE,PROBE
[19:13:58] TUNE,X,POLARITY,1,DELTA,10,KICK_DEG,14.0
[19:13:58] TUNE,X,RECENTER
[19:13:59] TUNE,X,RECENTERED,ERROR,2
[19:13:59] TUNE,X,SAFE_LIMIT,STEP,60.0,MAXRPM,12.0
[19:13:59] TUNE,X,CHAMPIONSHIP_COARSE,COUNT,30
[19:13:59] TUNE,X,RECENTER
[19:13:59] TUNE,X,RECENTERED,ERROR,1
[19:13:59] TUNE,X,PID_TEST,KP,0.100,KI,0.080,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:14:07] TUNE,X,RESULT,MODE,PID,KP,0.100,KI,0.080,KD,0.003,SCORE,387.958
[19:14:07] TUNE,X,RECENTER
[19:14:07] TUNE,X,RECENTERED,ERROR,-3
[19:14:07] TUNE,X,PID_TEST,KP,0.100,KI,0.080,KD,0.010,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:14:14] TUNE,X,RESULT,MODE,PID,KP,0.100,KI,0.080,KD,0.010,SCORE,389.926
[19:14:14] TUNE,X,RECENTER
[19:14:14] TUNE,X,RECENTERED,ERROR,-2
[19:14:14] TUNE,X,PID_TEST,KP,0.100,KI,0.200,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:14:22] TUNE,X,RESULT,MODE,PID,KP,0.100,KI,0.200,KD,0.003,SCORE,280.940
[19:14:22] TUNE,X,RECENTER
[19:14:22] TUNE,X,RECENTERED,ERROR,-1
[19:14:22] TUNE,X,PID_TEST,KP,0.100,KI,0.200,KD,0.010,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:14:29] TUNE,X,RESULT,MODE,PID,KP,0.100,KI,0.200,KD,0.010,SCORE,348.007
[19:14:30] TUNE,X,RECENTER
[19:14:30] TUNE,X,RECENTERED,ERROR,4
[19:14:30] TUNE,X,PID_TEST,KP,0.100,KI,0.320,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:14:37] TUNE,X,RESULT,MODE,PID,KP,0.100,KI,0.320,KD,0.003,SCORE,246.349
[19:14:37] TUNE,X,RECENTER
[19:14:37] TUNE,X,RECENTERED,ERROR,1
[19:14:37] TUNE,X,PID_TEST,KP,0.100,KI,0.320,KD,0.010,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:14:45] TUNE,X,RESULT,MODE,PID,KP,0.100,KI,0.320,KD,0.010,SCORE,246.048
[19:14:45] TUNE,X,RECENTER
[19:14:45] TUNE,X,RECENTERED,ERROR,-1
[19:14:45] TUNE,X,PID_TEST,KP,0.160,KI,0.080,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:14:52] TUNE,X,RESULT,MODE,PID,KP,0.160,KI,0.080,KD,0.003,SCORE,309.413
[19:14:52] TUNE,X,RECENTER
[19:14:52] TUNE,X,RECENTERED,ERROR,-2
[19:14:53] TUNE,X,PID_TEST,KP,0.160,KI,0.080,KD,0.010,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:15:00] TUNE,X,RESULT,MODE,PID,KP,0.160,KI,0.080,KD,0.010,SCORE,295.055
[19:15:00] TUNE,X,RECENTER
[19:15:00] TUNE,X,RECENTERED,ERROR,-1
[19:15:00] TUNE,X,PID_TEST,KP,0.160,KI,0.200,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:15:08] TUNE,X,RESULT,MODE,PID,KP,0.160,KI,0.200,KD,0.003,SCORE,254.522
[19:15:08] TUNE,X,RECENTER
