[21:54:44] 日志目录：F:\k230gc\pidtest\host\logs\20260706_215444
[21:54:45] TX > RADIOPING,attempt=1
[21:54:45] BRIDGE_RADIO_TX_OK
[21:54:45] BRIDGE_RADIO_PONG
[21:54:45] TX > PING,attempt=1
[21:54:45] ERR,UNKNOWN_COMMAND,RADIOPING
[21:54:45] PONG
[21:54:45] TX > AUTOTUNE,attempt=1
[21:54:45] OK,AUTOTUNE_WAIT_TARGET
[21:54:45] AUTOTUNE_START
[21:54:46] AUTOTUNE_SCORE_PROFILE,PID_CHAMPIONSHIP_SAFE_V6
[21:54:46] TUNE,X,BEGIN,MODE,PID_CHAMPIONSHIP
[21:54:46] TUNE,X,CALIBRATE,PROBE
[21:54:47] TUNE,X,POLARITY,1,DELTA,35,KICK_DEG,13.9
[21:54:47] TUNE,X,RECENTER
[21:54:48] TUNE,X,RECENTERED,ERROR,-3
[21:54:48] TUNE,X,SAFE_LIMIT,STEP,60.0,MAXRPM,12.0
[21:54:48] TUNE,X,CHAMPIONSHIP_COARSE,COUNT,30
[21:54:48] TUNE,X,RECENTER
[21:54:48] TUNE,X,RECENTERED,ERROR,-1
[21:54:48] TUNE,X,PID_TEST,KP,0.100,KI,0.080,KD,0.003,STEP,60.0,MAXRPM,12.0
[21:54:54] TUNE,X,RESULT,MODE,PID,KP,0.100,KI,0.080,KD,0.003,SCORE,269.028
[21:54:54] TUNE,X,RECENTER
[21:54:55] TUNE,X,RECENTERED,ERROR,-1
[21:54:55] TUNE,X,PID_TEST,KP,0.100,KI,0.080,KD,0.010,STEP,60.0,MAXRPM,12.0
[21:55:01] TUNE,X,RESULT,MODE,PID,KP,0.100,KI,0.080,KD,0.010,SCORE,286.556
[21:55:01] TUNE,X,RECENTER
[21:55:01] TUNE,X,RECENTERED,ERROR,0
[21:55:01] TUNE,X,PID_TEST,KP,0.100,KI,0.220,KD,0.003,STEP,60.0,MAXRPM,12.0
[21:55:07] TUNE,X,RESULT,MODE,PID,KP,0.100,KI,0.220,KD,0.003,SCORE,195.525
[21:55:07] TUNE,X,RECENTER
[21:55:07] TUNE,X,RECENTERED,ERROR,3
[21:55:07] TUNE,X,PID_TEST,KP,0.100,KI,0.220,KD,0.010,STEP,60.0,MAXRPM,12.0
[21:55:14] TUNE,X,RESULT,MODE,PID,KP,0.100,KI,0.220,KD,0.010,SCORE,261.953
[21:55:14] TUNE,X,RECENTER
[21:55:14] TUNE,X,RECENTERED,ERROR,1
[21:55:14] TUNE,X,PID_TEST,KP,0.100,KI,0.420,KD,0.003,STEP,60.0,MAXRPM,12.0
[21:55:20] TUNE,X,RESULT,MODE,PID,KP,0.100,KI,0.420,KD,0.003,SCORE,210.516
[21:55:20] TUNE,X,RECENTER
[21:55:20] TUNE,X,RECENTERED,ERROR,-2
[21:55:20] TUNE,X,PID_TEST,KP,0.100,KI,0.420,KD,0.010,STEP,60.0,MAXRPM,12.0
[21:55:26] TUNE,X,RESULT,MODE,PID,KP,0.100,KI,0.420,KD,0.010,SCORE,241.003
[21:55:26] TUNE,X,RECENTER
[21:55:27] TUNE,X,RECENTERED,ERROR,-1
[21:55:27] TUNE,X,PID_TEST,KP,0.160,KI,0.080,KD,0.003,STEP,60.0,MAXRPM,12.0
[21:55:33] TUNE,X,RESULT,MODE,PID,KP,0.160,KI,0.080,KD,0.003,SCORE,186.744
[21:55:33] TUNE,X,RECENTER
[21:55:33] TUNE,X,RECENTERED,ERROR,2
[21:55:33] TUNE,X,PID_TEST,KP,0.160,KI,0.080,KD,0.010,STEP,60.0,MAXRPM,12.0
[21:55:39] TUNE,X,RESULT,MODE,PID,KP,0.160,KI,0.080,KD,0.010,SCORE,233.433
[21:55:39] TUNE,X,RECENTER
[21:55:40] TUNE,X,RECENTERED,ERROR,0
[21:55:40] TUNE,X,PID_TEST,KP,0.160,KI,0.220,KD,0.003,STEP,60.0,MAXRPM,12.0
[21:55:46] TUNE,X,RESULT,MODE,PID,KP,0.160,KI,0.220,KD,0.003,SCORE,248.617
[21:55:46] TUNE,X,RECENTER
[21:55:46] TUNE,X,RECENTERED,ERROR,1
[21:55:46] TUNE,X,PID_TEST,KP,0.160,KI,0.220,KD,0.010,STEP,60.0,MAXRPM,12.0
[21:55:52] TUNE,X,RESULT,MODE,PID,KP,0.160,KI,0.220,KD,0.010,SCORE,190.575
[21:55:52] TUNE,X,RECENTER
[21:55:52] TUNE,X,RECENTERED,ERROR,3
[21:55:52] TUNE,X,PID_TEST,KP,0.160,KI,0.420,KD,0.003,STEP,60.0,MAXRPM,12.0
[21:55:59] TUNE,X,RESULT,MODE,PID,KP,0.160,KI,0.420,KD,0.003,SCORE,273.506
[21:55:59] TUNE,X,RECENTER
[21:55:59] TUNE,X,RECENTERED,ERROR,3
[21:55:59] TUNE,X,PID_TEST,KP,0.160,KI,0.420,KD,0.010,STEP,60.0,MAXRPM,12.0
[21:56:05] TUNE,X,RESULT,MODE,PID,KP,0.160,KI,0.420,KD,0.010,SCORE,197.795
[21:56:05] TUNE,X,RECENTER
[21:56:05] TUNE,X,RECENTERED,ERROR,-1
[21:56:05] TUNE,X,PID_TEST,KP,0.220,KI,0.080,KD,0.003,STEP,60.0,MAXRPM,12.0
