[12:59:02] 日志目录：F:\k230gc\pidtest\host\logs\20260707_125902
[12:59:04] TX > RADIOPING,attempt=1
[12:59:04] BRIDGE_RADIO_TX_OK
[12:59:04] BRIDGE_RADIO_PONG
[12:59:04] TX > PING,attempt=1
[12:59:04] ERR,UNKNOWN_COMMAND,RADIOPING
[12:59:04] PONG
[12:59:04] TX > AUTOTUNE,attempt=1
[12:59:04] OK,AUTOTUNE_WAIT_TARGET
[12:59:04] AUTOTUNE_WAIT_TARGET,frames=2
[12:59:04] AUTOTUNE_START
[12:59:04] AUTOTUNE_SCORE_PROFILE,PID_FAST_FOLLOW_CLEAN_V8
[12:59:04] TUNE,X,BEGIN,MODE,PID_CHAMPIONSHIP
[12:59:05] TUNE,X,CALIBRATE,PROBE
[12:59:06] TUNE,X,POLARITY,1,DELTA,19,KICK_DEG,14.0
[12:59:06] TUNE,X,RECENTER
[12:59:06] TUNE,X,RECENTERED,ERROR,0
[12:59:06] TUNE,X,SAFE_LIMIT,STEP,60.0,MAXRPM,12.0
[12:59:06] TUNE,X,CHAMPIONSHIP_COARSE,COUNT,30
[12:59:06] TUNE,X,RECENTER
[12:59:06] TUNE,X,RECENTERED,ERROR,0
[12:59:06] TUNE,X,PID_TEST,KP,0.100,KI,0.080,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[12:59:14] TUNE,X,RESULT,MODE,PID,KP,0.100,KI,0.080,KD,0.003,SCORE,546.397
[12:59:14] TUNE,X,RECENTER
[12:59:14] TUNE,X,RECENTERED,ERROR,0
[12:59:14] TUNE,X,PID_TEST,KP,0.100,KI,0.080,KD,0.010,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[12:59:21] TUNE,X,RESULT,MODE,PID,KP,0.100,KI,0.080,KD,0.010,SCORE,538.849
[12:59:21] TUNE,X,RECENTER
[12:59:21] TUNE,X,RECENTERED,ERROR,-4
[12:59:21] TUNE,X,PID_TEST,KP,0.100,KI,0.200,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[12:59:29] TUNE,X,RESULT,MODE,PID,KP,0.100,KI,0.200,KD,0.003,SCORE,545.624
[12:59:29] TUNE,X,RECENTER
[12:59:29] TUNE,X,RECENTERED,ERROR,0
[12:59:29] TUNE,X,PID_TEST,KP,0.100,KI,0.200,KD,0.010,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[12:59:37] TUNE,X,RESULT,MODE,PID,KP,0.100,KI,0.200,KD,0.010,SCORE,514.960
[12:59:37] TUNE,X,RECENTER
[12:59:37] TUNE,X,RECENTERED,ERROR,-3
[12:59:37] TUNE,X,PID_TEST,KP,0.100,KI,0.320,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[12:59:44] TUNE,X,RESULT,MODE,PID,KP,0.100,KI,0.320,KD,0.003,SCORE,594.023
[12:59:44] TUNE,X,RECENTER
[12:59:44] TUNE,X,RECENTERED,ERROR,0
[12:59:44] TUNE,X,PID_TEST,KP,0.100,KI,0.320,KD,0.010,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[12:59:52] TUNE,X,RESULT,MODE,PID,KP,0.100,KI,0.320,KD,0.010,SCORE,583.500
[12:59:52] TUNE,X,RECENTER
[12:59:52] TUNE,X,RECENTERED,ERROR,1
[12:59:52] TUNE,X,PID_TEST,KP,0.160,KI,0.080,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[13:00:00] TUNE,X,RESULT,MODE,PID,KP,0.160,KI,0.080,KD,0.003,SCORE,492.817
[13:00:00] TUNE,X,RECENTER
[13:00:00] TUNE,X,RECENTERED,ERROR,4
[13:00:00] TUNE,X,PID_TEST,KP,0.160,KI,0.080,KD,0.010,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
